,line_num,matn,width,sehat
82,84,دورسلی ساعت پنج هنگام خروج از ساختمان شرکت چنان مضطرب بود که ,645,1091
83,86,جلوی در به شخصی تنه زد و بلافاصله عذرخواهی کرد. ,468,904
84,88,او غفلتاً به پیرمرد نحیفی تنه زده بود. پیرمرد تعادلش را از دست داد و ,606,1336
85,90,چیزی نمانده بود که به زمین بیفتد. چند لحظه بعد که آقای دورسلی به خود ,634,1321
86,92,آمد متوجه شد که پیرمرد شنل بنفش رنگی به تن دارد و به نظر نمی‌رسید از ,637,1418
87,94,این برخورد ناگهانی ناراحت شده باشد. پیرمرد لبخندی به پهنای صورتش زد ,635,1044
88,96,و با صدای زیری که باعث جلب توجه رهگذرها شد گفت: ,490,996
89,98,-مهم نیست» دوست عزیز. امروز هیچی نمی‌تونه منو ناراحت کنه. برو خدا ,636,1033
90,100,رو شکر کن که بالاخره طرف رفته. حتی مشنگ‌هایی مثل تو هم باید در ,603,1171
91,92,رو شکر کن که بالا خره طرف رفته. حتی مشنک‌هایی مثل تو هم باید در ,603,1282
92,94,۱۳ هری پاتر و سنگ جادو ,635,475
93,96,  ,215,95
94,98,و شاد باشن. ,102,258
95,100,پیرمرد صمیمانه آقای دورسلی را در آغوش فشرد و سپس از او دور شد. ,605,1276
96,102,آقای دورسلی سرجایش میخکوب شده بود. یک پیرمرد او را در آغوش ,605,974
97,104,گرفته بود و او را مشنگ خطاب کرده بود. او هیچ از حرف‌هایش سر در ,637,1353
98,106,نیاورده بود. دلواپس و آشفته بود. به سرعت به سوی آتومبیلش رفت و راه ,634,1220
99,108,منزل را در پیش گرفت. با این که به خواب و رویا علاقه‌ای نداشت امیدوار بود ,635,1405
100,110,که همه‌ی اين‌ها را در خواب دیده باشد. پیش از آن هرگز چنین آرزوبی نکرده ,636,1305
101,112,بود. ,31,91
102,114,پس از ورود به پارکینگ منزلش اولین چیزی که توجهش را جلب کرد ,606,1163
103,116,همان گربه‌ای بود که صبح دیده بود. تردیدی نداشت که همان گربه است زیرا ,634,1237
104,118,sl os: os 1 1S cron. oe wis cles:‏ وروی دوواد ,636,222
